type;toi;x00;x10;x20;x30;x01;x11;x21;x31;x0r;x1r;x2r;x3r
EdgeEdge;0.0625;0.4514268637,0.9439284801,0.5738723278;0.5616301894,0.8885385394,0.6034682393;0.5228073597,0.9459707141,0.5254215598;0.5211060643,0.8996458054,0.6090680957;0.4518852234,0.9473342299,0.5742632151;0.5618863106,0.8915836215,0.6038422585;0.5232809186,0.9492248893,0.5257785320;0.5215978622,0.9029673934,0.6093248129;0.4518852234,0.9473342299,0.5742632151;0.5618964434,0.8915828466,0.6038370728;0.5232607126,0.9492263794,0.5257889032;0.5215675235,0.9029696584,0.6093403697
EdgeEdge;0.9511746;0.3194522858,0.8551590443,0.4942144454;0.2249009311,0.8104578853,0.5096662641;0.2922194302,0.8411290050,0.4996686280;0.3301091790,0.8532687426,0.4996993542;0.3189399540,0.8551982045,0.4940710068;0.2247158438,0.8094509840,0.5098336935;0.2922194302,0.8411290050,0.4996686280;0.3301091790,0.8532687426,0.4996993542;0.3189399540,0.8551982045,0.4940710068;0.2247174382,0.8094549775,0.5098332763;0.2922162414,0.8411209583,0.4996695220;0.3301043808,0.8532567024,0.4997006655
EdgeEdge;0.066638514;0.0804815292,0.6940987110,0.5459301472;0.0228748973,0.7630198002,0.4082803130;0.0782781169,0.6965563297,0.4646565914;0.0782781169,0.6965563297,0.5353360772;0.0788853467,0.6932340264,0.5461077690;0.0227313507,0.7630263567,0.4085103273;0.0782781169,0.6965563297,0.4646565914;0.0782781169,0.6965563297,0.5353360772;0.0788853467,0.6932340264,0.5461077690;0.0227572527,0.7630317807,0.4084856510;0.0782263130,0.6965454221,0.4647059441;0.0782004073,0.6965399981,0.5354101062
EdgeEdge;0.6759755;0.2249009311,0.8104578853,0.5096662641;0.3198700249,0.8530880213,0.4268415868;0.2938354313,0.8408996463,0.4248968065;0.2922194302,0.8411290050,0.4996686280;0.2247158438,0.8094509840,0.5098336935;0.3193768561,0.8528445363,0.4268482327;0.2938354313,0.8408996463,0.4248968065;0.2922194302,0.8411290050,0.4996686280;0.2247158438,0.8094509840,0.5098336935;0.3193870783,0.8528746367,0.4268435836;0.2938149869,0.8408395052,0.4249061048;0.2921887636,0.8410387635,0.4996825755
EdgeEdge;0.44174784;0.3194522858,0.8551590443,0.4942144454;0.2249009311,0.8104578853,0.5096662641;0.2922194302,0.8411290050,0.4996686280;0.3301091790,0.8532687426,0.4996993542;0.3163248897,0.8552715182,0.4938742816;0.2220140994,0.8058383465,0.5104891658;0.2922194302,0.8411290050,0.4996686280;0.3301091790,0.8532687426,0.4996993542;0.3163248897,0.8552715182,0.4938742816;0.2222065032,0.8060526848,0.5104568601;0.2918345928,0.8407002687,0.4997332990;0.3295319378,0.8526256680,0.4997963607
EdgeEdge;0.07645333;0.0804815292,0.6940987110,0.5459301472;0.0228748973,0.7630198002,0.4082803130;0.0782781169,0.6965563297,0.4646565914;0.0782781169,0.6965563297,0.5353360772;0.0794454440,0.6931510568,0.5484566092;0.0188253131,0.7616401315,0.4107534289;0.0782781169,0.6965563297,0.4646565914;0.0782781169,0.6965563297,0.5353360772;0.0794454440,0.6931510568,0.5484566092;0.0192402452,0.7617856860,0.4104865789;0.0774482563,0.6962651610,0.4651902914;0.0770333260,0.6961195469,0.5361366272
EdgeEdge;0.66878057;0.2249009311,0.8104578853,0.5096662641;0.3198700249,0.8530880213,0.4268415868;0.2938354313,0.8408996463,0.4248968065;0.2922194302,0.8411290050,0.4996686280;0.2220140994,0.8058383465,0.5104891658;0.3170219958,0.8525637388,0.4265291095;0.2938354313,0.8408996463,0.4248968065;0.2922194302,0.8411290050,0.4996686280;0.2220140994,0.8058383465,0.5104891658;0.3171331584,0.8527011871,0.4265086949;0.2936131060,0.8406246901,0.4249376357;0.2918859422,0.8407166004,0.4997299016
PointTriangle;0.87068385;0.0999321789,0.0158532280,0.0048224768;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1000000015,0.2500000000,-0.2500000000;0.1000100747,0.0156379379,0.0041136132;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1000000015,0.2500000000,-0.2500000000;0.1000100747,0.0156379379,0.0041136136;0.1000011787,-0.2500032485,-0.2500106990;0.1000023484,0.2499935031,0.2499786168;0.1000035256,0.2499902546,-0.2500320971
PointTriangle;0.358489;0.0999324024,0.0194059256,0.0171849392;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1000000015,0.2500000000,-0.2500000000;0.1001209691,0.0194034297,0.0170820486;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1000000015,0.2500000000,-0.2500000000;0.1001209691,0.0194034297,0.0170820486;0.1000141129,-0.2500001788,-0.2500076890;0.1000282243,0.2499996275,0.2499845922;0.1000423431,0.2499994338,-0.2500230968
PointTriangle;0.37331137;0.0999324694,0.0237339847,0.0202295240;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1000000015,0.2500000000,-0.2500000000;0.1001133695,0.0237385053,0.0202574730;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1000000015,0.2500000000,-0.2500000000;0.1001133695,0.0237385053,0.0202574730;0.1000132263,-0.2499996722,-0.2499979585;0.1000264511,0.2500006557,0.2500040829;0.1000396833,0.2500009835,-0.2499938756
PointTriangle;0.6224593;0.0999313220,0.0080250362,0.0093603358;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,-0.2500000000,0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1000416577,0.0073725078,0.0087806145;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,-0.2500000000,0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1000416577,0.0073725078,0.0087806145;0.1000048593,-0.2500287294,-0.2500255406;0.1000097245,-0.2500574887,0.2499489337;0.1000145823,0.2499137819,0.2499233931
PointTriangle;0.6675422;0.0998390615,0.0193718262,0.0360331014;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,-0.2500000000,0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1000801548,0.0193150770,0.0370907001;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,-0.2500000000,0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1000801548,0.0193150770,0.0370907001;0.1000093520,-0.2500022054,-0.2499589771;0.1000187024,-0.2500044107,0.2500820458;0.1000280529,0.2499933988,0.2501230538
PointTriangle;0.6694416;0.0997705311,0.0170525312,0.0357839912;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,-0.2500000000,0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1001133099,0.0168285146,0.0368426330;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,-0.2500000000,0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1001133099,0.0168285146,0.0368426330;0.1000132188,-0.2500086427,-0.2499591708;0.1000264436,-0.2500172853,0.2500816584;0.1000396609,0.2499740869,0.2501224875
